Restaurant Type,Volume of Searches,Frequency of Restaurant Type
Afghan Restaurant,5400,1
American Restaurant,1600,11
Argentinian Restaurant,720,1
Asian Restaurant,12100,36
Bagel Shop,1000,7
Bakery,246000,77
BBQ Joint,10,17
Bistro,9900,12
Breakfast Spot,390,65
Buffet,22200,1
Burger Joint,1000,25
Burmese Restaurant,170,1
Burrito Place,720,1
Café,40500,167
Cafeteria,5400,1
Cajun / Creole Restaurant,10,3
Cambodian Restaurant,720,3
Cantonese Restaurant,720,1
Caribbean Restaurant,8100,7
Chinese Restaurant,60500,24
Comfort Food Restaurant,50,4
Creperie,5400,6
Cuban Restaurant,1000,1
Deli / Bodega,12100,18
Dim Sum Restaurant,4400,1
Diner,60500,21
Dongbei Restaurant,30,1
Donut Shop,4400,2
Dumpling Restaurant,1000,5
Eastern European Restaurant,320,2
Empanada House,0,1
Empanada Restaurant,70,1
English Restaurant,170,3
Falafel Restaurant,1300,5
Fast Food Restaurant,33100,88
Fish & Chips Shop,2400,4
Food,550000,3
Food Court,5400,3
Food Truck,12100,4
French Restaurant,8100,48
Fried Chicken Joint,10,2
Gastropub,1900,20
German Restaurant,2900,1
Greek Restaurant,27100,25
Halal Restaurant,18100,1
Hawaiian Restaurant,1000,5
Hot Dog Joint,70,3
Indian Restaurant,110000,26
Irish Pub,4400,1
Italian Restaurant,49500,70
Japanese Restaurant,33100,19
Kebab Restaurant,260,1
Korean Restaurant,40500,18
Latin American Restaurant,480,1
Lebanese Restaurant,6600,1
Mac & Cheese Joint,10,1
Malay Restaurant,5400,1
Mediterranean Restaurant,8100,13
Mexican Restaurant,33100,17
Middle Eastern Restaurant,6600,36
Modern European Restaurant,10,1
Mongolian Restaurant,320,1
Moroccan Restaurant,1600,3
New American Restaurant,10,3
Noodle House,2900,2
North Indian Restaurant,110,1
Persian Restaurant,6600,4
Peruvian Restaurant,1900,4
Pet Caf??,10,2
Pizza Place,12100,107
Polish Restaurant,720,1
Portuguese Restaurant,5400,20
Poutine Place,260,4
Ramen Restaurant,6600,3
Restaurant,1500000,127
Russian Restaurant,880,1
Salad Place,170,5
Salvadoran Restaurant,590,2
Sandwich Place,260,69
Scandinavian Restaurant,170,1
Seafood Restaurant,14800,12
Shabu-Shabu Restaurant,590,1
Snack Place,10,3
South American Restaurant,140,1
Spanish Restaurant,1900,3
Steakhouse,22200,11
Sushi Restaurant,9900,62
Swiss Restaurant,320,2
Szechuan Restaurant,1000,1
Taco Place,590,4
Tapas Restaurant,880,8
Tex-Mex Restaurant,320,2
Thai Restaurant,14800,16
Tibetan Restaurant,590,1
Turkish Restaurant,8100,1
Vegetarian / Vegan Restaurant,9900,14
Vietnamese Restaurant,40500,48
Wings Joint,0,1
