Restaurant Type,Volume of Searches,Frequency of Restaurant Type
Afghan Restaurant,5400,3
African Restaurant,2900,1
American Restaurant,1600,35
Argentinian Restaurant,720,1
Asian Restaurant,12100,43
Bagel Shop,1000,21
Bakery,246000,124
BBQ Joint,10,28
Belgian Restaurant,210,1
Bistro,9900,4
Brazilian Restaurant,2400,1
Breakfast Spot,390,56
Buffet,22200,1
Burger Joint,1000,56
Burrito Place,720,18
Café,40500,178
Cafeteria,5400,3
Cajun / Creole Restaurant,10,1
Cantonese Restaurant,720,9
Caribbean Restaurant,8100,35
Chinese Restaurant,60500,94
Comfort Food Restaurant,50,6
Creperie,5400,3
Cuban Restaurant,1000,3
Deli / Bodega,12100,21
Dim Sum Restaurant,4400,6
Diner,60500,36
Doner Restaurant,10,3
Donut Shop,4400,7
Dumpling Restaurant,1000,5
Eastern European Restaurant,320,10
Egyptian Restaurant,1000,1
Ethiopian Restaurant,5400,7
Falafel Restaurant,1300,14
Fast Food Restaurant,33100,88
Filipino Restaurant,8100,13
Fish & Chips Shop,2400,12
Food,550000,3
Food Court,5400,11
Food Stand,260,1
Food Truck,12100,7
French Restaurant,8100,22
Fried Chicken Joint,10,34
Gastropub,1900,29
German Restaurant,2900,3
Gluten-free Restaurant,4400,1
Greek Restaurant,27100,37
Hakka Restaurant,1900,2
Hawaiian Restaurant,1000,1
Hong Kong Restaurant,2900,2
Hot Dog Joint,70,1
Hotpot Restaurant,1600,1
Hungarian Restaurant,880,1
Indian Chinese Restaurant,320,2
Indian Restaurant,110000,62
Indonesian Restaurant,1000,1
Irish Pub,4400,1
Italian Restaurant,49500,123
Japanese Restaurant,33100,82
Jewish Restaurant,320,1
Korean Restaurant,40500,37
Latin American Restaurant,480,9
Malay Restaurant,5400,2
Mediterranean Restaurant,8100,21
Mexican Restaurant,33100,42
Middle Eastern Restaurant,6600,50
Modern European Restaurant,10,3
Molecular Gastronomy Restaurant,30,1
Moroccan Restaurant,1600,1
New American Restaurant,10,10
Noodle House,2900,8
Pakistani Restaurant,4400,1
Persian Restaurant,6600,4
Pide Place,0,1
Pizza Place,12100,204
Poke Place,40,4
Portuguese Restaurant,5400,8
Poutine Place,260,2
Ramen Restaurant,6600,15
Restaurant,1500000,167
Salad Place,170,12
Sandwich Place,260,126
Seafood Restaurant,14800,26
Shanghai Restaurant,1900,1
Snack Place,10,6
Soup Place,140,2
South American Restaurant,140,2
Souvlaki Shop,140,1
Sri Lankan Restaurant,2400,2
Steakhouse,22200,10
Sushi Restaurant,9900,89
Swiss Restaurant,320,1
Syrian Restaurant,720,1
Taco Place,590,7
Taiwanese Restaurant,3600,2
Tapas Restaurant,880,4
Thai Restaurant,14800,58
Theme Restaurant,320,1
Tibetan Restaurant,590,3
Turkish Restaurant,8100,7
Udon Restaurant,110,2
Vegetarian Restaurant,9900,24
Vietnamese Restaurant,40500,44
Wings Joint,1,15
