Restaurant Type,Volume of Searches,Frequency of Restaurant Type
African Restaurant,2900,2
American Restaurant,1600,12
Asian Restaurant,12100,24
Bagel Shop,1000,5
Bakery,246000,40
BBQ Joint,10,7
Belgian Restaurant,210,1
Bistro,9900,1
Breakfast Spot,390,20
Burger Joint,1000,13
Burrito Place,720,4
Café,40500,57
Cafeteria,5400,1
Cajun / Creole Restaurant,10,1
Cantonese Restaurant,720,7
Caribbean Restaurant,8100,3
Chinese Restaurant,60500,50
Comfort Food Restaurant,50,2
Cuban Restaurant,1000,1
Deli / Bodega,12100,9
Dim Sum Restaurant,4400,4
Diner,60500,11
Donut Shop,4400,4
Eastern European Restaurant,320,1
Ethiopian Restaurant,5400,3
Falafel Restaurant,1300,5
Fast Food Restaurant,33100,11
Filipino Restaurant,8100,3
Food,550000,1
Food Court,5400,2
Food Truck,12100,12
French Restaurant,8100,12
Fried Chicken Joint,10,3
Gastropub,1900,9
German Restaurant,2900,3
Greek Restaurant,27100,7
Hawaiian Restaurant,1000,1
Hot Dog Joint,70,3
Indian Chinese Restaurant,320,1
Indian Restaurant,110000,24
Irish Pub,4400,2
Italian Restaurant,49500,27
Japanese Curry Restaurant,140,1
Japanese Restaurant,33100,43
Korean Restaurant,40500,8
Latin American Restaurant,480,3
Lebanese Restaurant,6600,4
Mac & Cheese Joint,10,2
Malay Restaurant,5400,7
Mediterranean Restaurant,8100,3
Mexican Restaurant,33100,16
Middle Eastern Restaurant,6600,9
New American Restaurant,10,5
Noodle House,2900,12
Peruvian Restaurant,1900,1
Pizza Place,12100,49
Poke Place,40,3
Portuguese Restaurant,5400,2
Ramen Restaurant,6600,8
Restaurant,1500000,28
Salad Place,170,3
Sandwich Place,260,26
Seafood Restaurant,14800,17
Shanghai Restaurant,1900,2
Snack Place,10,2
Soup Place,140,1
South American Restaurant,140,1
South Indian Restaurant,6600,2
Southern / Soul Food Restaurant,10,2
Spanish Restaurant,1900,2
Steakhouse,22200,5
Sushi Restaurant,9900,40
Szechuan Restaurant,1000,1
Taco Place,590,10
Tapas Restaurant,880,4
Tex-Mex Restaurant,320,1
Thai Restaurant,14800,6
Udon Restaurant,110,2
Ukrainian Restaurant,1300,1
Vegetarian / Vegan Restaurant,9900,23
Vietnamese Restaurant,40500,45
