Postal Code,Latitude,Longitude
V5K,49.285089,-123.028235
V5L,49.27629,-123.062083
V5M,49.265557,-123.03227
V5N,49.242935,-123.071646
V5P,49.210492,-123.065699
V5R,49.234216,-123.026393
V5S,49.220137,-123.036709
V5T,49.264659,-123.100399
V5V,49.255454,-123.09386
V5W,49.226934,-123.090798
V5X,49.222728,-123.10177
V5Y,49.265573,-123.112771
V5Z,49.2650255,-123.1162762
V6A,49.2761866,-123.1023742
V6B,49.272915,-123.10019
V6C,49.289005,-123.120745
V6E,49.286401,-123.122177
V6G,49.293819,-123.136771
V6H,49.257822,-123.074574
V6J,49.174354,-122.852699
V6K,49.265341,-123.162386
V6L,49.254783,-123.170074
V6M,49.232313,-123.161496
V6N,49.221418,-123.182394
V6P,49.222135,-123.156304
V6R,49.2655497,-123.1931537
V6S,49.237565,-123.196898
V6T,49.273303,-123.247076
V6Z,49.276415,-123.12748
V7R,49.3371916,-123.1014641
V7X,49.281222,-123.11543
V7Y,49.2831643,-123.117984
